S.No	LibID	Treatment	Brain.region	Replicate	Group
43	RRB043	Fluoxetine	venDG	Rep1	hippocamp
44	RRB044	Fluoxetine	venCA1	Rep1	hippocamp
45	RRB045	Fluoxetine	Arc	Rep1	ven
46	RRB046	Fluoxetine	VTA	Rep1	ven
47	RRB047	Fluoxetine	PAG	Rep1	caudal
48	RRB048	Fluoxetine	Raphe	Rep1	caudal
49	RRB049	Sham	LC	Rep1	caudal
50	RRB050	Sham	SNT	Rep1	caudal
51	RRB051	Fluoxetine	SNT	Rep1	caudal
52	RRB052	Fluoxetine	LC	Rep1	caudal
53	RRB053	Sham	PLC	Rep2	cortex
54	RRB054	Sham	ILC	Rep2	cortex
55	RRB055	Sham	CGC	Rep2	cortex
56	RRB056	Sham	InsularCortex	Rep2	cortex
57	RRB057	Sham	NaCshell	Rep2	nac
58	RRB058	Sham	NaCcore	Rep2	nac
59	RRB059	Sham	LS	Rep2	ssthal
60	RRB060	Sham	MS	Rep2	ssthal
61	RRB061	Sham	BNST	Rep2	ssthal
62	RRB062	Sham	MPOA	Rep2	ven
63	RRB063	Sham	PVN	Rep2	pvnhb
64	RRB064	Sham	MDT	Rep2	ssthal
65	RRB065	Sham	LH	Rep2	ssthal
66	RRB066	Sham	VMH	Rep2	ven
67	RRB067	Sham	BLA	Rep2	amyg
68	RRB068	Sham	CMA	Rep2	amyg
69	RRB069	Sham	dorDG	Rep2	hippocamp
70	RRB070	Sham	dorCA1	Rep2	hippocamp
71	RRB071	Sham	HB	Rep2	pvnhb
72	RRB072	Sham	venDG	Rep2	hippocamp
73	RRB073	Sham	venCA1	Rep2	hippocamp
74	RRB074	Sham	Arc	Rep2	ven
75	RRB075	Sham	VTA	Rep2	ven
76	RRB076	Sham	PAG	Rep2	caudal
77	RRB083	Fluoxetine	PLC	Rep2	cortex
78	RRB084	Fluoxetine	ILC	Rep2	cortex
79	RRB085	Fluoxetine	CGC	Rep2	cortex
80	RRB086	Fluoxetine	InsularCortex	Rep2	cortex
81	RRB087	Fluoxetine	NaCshell	Rep2	nac
82	RRB088	Fluoxetine	NaCcore	Rep2	nac
83	RRB089	Fluoxetine	LS	Rep2	ssthal
84	RRB090	Fluoxetine	MS	Rep2	ssthal
85	RRB091	Fluoxetine	BNST	Rep2	ssthal
86	RRB092	Fluoxetine	MPOA	Rep2	ven
87	RRB093	Fluoxetine	PVN	Rep2	pvnhb
88	RRB094	Fluoxetine	MDT	Rep2	ssthal
89	RRB095	Fluoxetine	LH	Rep2	ssthal
90	RRB096	Fluoxetine	VMH	Rep2	ven
91	RRB097	Fluoxetine	BLA	Rep2	amyg
92	RRB098	Fluoxetine	CMA	Rep2	amyg
93	RRB099	Fluoxetine	dorDG	Rep2	hippocamp
94	RRB100	Fluoxetine	dorCA1	Rep2	hippocamp
95	RRB101	Fluoxetine	HB	Rep2	pvnhb
96	RRB102	Fluoxetine	venDG	Rep2	hippocamp
97	RRB103	Fluoxetine	venCA1	Rep2	hippocamp
98	RRB104	Fluoxetine	Arc	Rep2	ven
99	RRB105	Fluoxetine	VTA	Rep2	ven
100	RRB106	Fluoxetine	PAG	Rep2	caudal
101	RRB107	Sham	Raphe	Rep2	caudal
102	RRB108	Sham	LC	Rep2	caudal
103	RRB109	Sham	SNT	Rep2	caudal
104	RRB110	Fluoxetine	Raphe	Rep2	caudal
105	RRB111	Fluoxetine	LC	Rep2	caudal
106	RRB112	Fluoxetine	SNT	Rep2	caudal
107	RRB113	Sham	PLC	Rep3	cortex
108	RRB114	Sham	ILC	Rep3	cortex
109	RRB115	Sham	CGC	Rep3	cortex
110	RRB116	Sham	InsularCortex	Rep3	cortex
111	RRB117	Sham	NaCshell	Rep3	nac
112	RRB118	Sham	NaCcore	Rep3	nac
113	RRB119	Sham	LS	Rep3	ssthal
114	RRB120	Sham	MS	Rep3	ssthal
115	RRB121	Sham	BNST	Rep3	ssthal
116	RRB122	Sham	MPOA	Rep3	ven
117	RRB123	Sham	PVN	Rep3	pvnhb
118	RRB124	Sham	MDT	Rep3	ssthal
119	RRB125	Sham	LH	Rep3	ssthal
120	RRB126	Sham	VMH	Rep3	ven
121	RRB127	Sham	BLA	Rep3	amyg
122	RRB128	Sham	CMA	Rep3	amyg
123	RRB129	Sham	dorDG	Rep3	hippocamp
124	RRB130	Sham	dorCA1	Rep3	hippocamp
125	RRB131	Sham	HB	Rep3	pvnhb
126	RRB132	Sham	venDG	Rep3	hippocamp
127	RRB133	Sham	venCA1	Rep3	hippocamp
128	RRB134	Sham	VTA	Rep3	ven
129	RRB135	Sham	PAG	Rep3	caudal
130	RRB136	Sham	Raphe	Rep3	caudal
131	RRB137	Fluoxetine	PLC	Rep3	cortex
132	RRB138	Fluoxetine	ILC	Rep3	cortex
133	RRB139	Fluoxetine	CGC	Rep3	cortex
134	RRB140	Fluoxetine	InsularCortex	Rep3	cortex
135	RRB141	Fluoxetine	NaCshell	Rep3	nac
136	RRB142	Fluoxetine	NaCcore	Rep3	nac
137	RRB143	Fluoxetine	LS	Rep3	ssthal
138	RRB144	Fluoxetine	MS	Rep3	ssthal
139	RRB145	Fluoxetine	BNST	Rep3	ssthal
140	RRB146	Fluoxetine	PVN	Rep3	pvnhb
141	RRB147	Fluoxetine	MDT	Rep3	ssthal
142	RRB148	Fluoxetine	LH	Rep3	ssthal
143	RRB149	Fluoxetine	VMH	Rep3	ven
144	RRB150	Fluoxetine	BLA	Rep3	amyg
145	RRB151	Fluoxetine	CMA	Rep3	amyg
146	RRB152	Fluoxetine	dorDG	Rep3	hippocamp
147	RRB153	Fluoxetine	dorCA1	Rep3	hippocamp
148	RRB154	Fluoxetine	HB	Rep3	pvnhb
149	RRB155	Fluoxetine	venDG	Rep3	hippocamp
150	RRB156	Fluoxetine	venCA1	Rep3	hippocamp
151	RRB157	Fluoxetine	Arc	Rep3	ven
152	RRB158	Fluoxetine	VTA	Rep3	ven
153	RRB159	Fluoxetine	PAG	Rep3	caudal
154	RRB160	Fluoxetine	Raphe	Rep3	caudal
155	RRB161	Sham	LC	Rep3	caudal
156	RRB162	Sham	SNT	Rep3	caudal
157	RRB163	Fluoxetine	LC	Rep3	caudal
158	RRB164	Fluoxetine	SNT	Rep3	caudal
159	RRB1148	Sham	PLC	Rep4	cortex
160	RRB1149	Sham	ILC	Rep4	cortex
161	RRB1150	Sham	CGC	Rep4	cortex
162	RRB1151	Sham	InsularCortex	Rep4	cortex
163	RRB1152	Sham	NaCshell	Rep4	nac
164	RRB1153	Sham	NaCcore	Rep4	nac
165	RRB1154	Sham	LS	Rep4	ssthal
166	RRB1155	Sham	MS	Rep4	ssthal
167	RRB1156	Sham	BNST	Rep4	ssthal
168	RRB1157	Sham	MPOA	Rep4	ven
169	RRB1158	Sham	PVN	Rep4	pvnhb
170	RRB1159	Sham	MDT	Rep4	ssthal
171	RRB1160	Sham	LH	Rep4	ssthal
172	RRB1161	Sham	VMH	Rep4	ven
173	RRB1162	Sham	BLA	Rep4	amyg
174	RRB1163	Sham	CMA	Rep4	amyg
175	RRB1164	Sham	dorDG	Rep4	hippocamp
176	RRB1165	Sham	dorCA1	Rep4	hippocamp
177	RRB1166	Sham	HB	Rep4	pvnhb
178	RRB1167	Sham	venDG	Rep4	hippocamp
179	RRB1168	Sham	venCA1	Rep4	hippocamp
180	RRB1169	Sham	Arc	Rep4	ven
181	RRB1170	Sham	VTA	Rep4	ven
182	RRB1171	Sham	PAG	Rep4	caudal
183	RRB1244	Sham	Raphe	Rep4	caudal
184	RRB1245	Sham	LC	Rep4	caudal
185	RRB1246	Sham	SNT	Rep4	caudal
186	RRB1172	Fluoxetine	PLC	Rep4	cortex
187	RRB1173	Fluoxetine	ILC	Rep4	cortex
188	RRB1174	Fluoxetine	CGC	Rep4	cortex
189	RRB1175	Fluoxetine	InsularCortex	Rep4	cortex
190	RRB1176	Fluoxetine	NaCshell	Rep4	nac
191	RRB1177	Fluoxetine	NaCcore	Rep4	nac
192	RRB1178	Fluoxetine	LS	Rep4	ssthal
193	RRB1179	Fluoxetine	MS	Rep4	ssthal
194	RRB1180	Fluoxetine	BNST	Rep4	ssthal
195	RRB1181	Fluoxetine	MPOA	Rep4	ven
196	RRB1182	Fluoxetine	PVN	Rep4	pvnhb
197	RRB1183	Fluoxetine	MDT	Rep4	ssthal
198	RRB1184	Fluoxetine	LH	Rep4	ssthal
199	RRB1185	Fluoxetine	VMH	Rep4	ven
200	RRB1186	Fluoxetine	BLA	Rep4	amyg
201	RRB1187	Fluoxetine	CMA	Rep4	amyg
202	RRB1188	Fluoxetine	dorDG	Rep4	hippocamp
203	RRB1189	Fluoxetine	dorCA1	Rep4	hippocamp
204	RRB1190	Fluoxetine	HB	Rep4	pvnhb
205	RRB1191	Fluoxetine	venDG	Rep4	hippocamp
206	RRB1192	Fluoxetine	venCA1	Rep4	hippocamp
207	RRB1193	Fluoxetine	Arc	Rep4	ven
208	RRB1194	Fluoxetine	VTA	Rep4	ven
209	RRB1195	Fluoxetine	PAG	Rep4	caudal
210	RRB1247	Fluoxetine	Raphe	Rep4	caudal
211	RRB1248	Fluoxetine	LC	Rep4	caudal
212	RRB1249	Fluoxetine	SNT	Rep4	caudal
213	RRB1196	Sham	PLC	Rep5	cortex
214	RRB1197	Sham	ILC	Rep5	cortex
215	RRB1198	Sham	CGC	Rep5	cortex
216	RRB1199	Sham	InsularCortex	Rep5	cortex
217	RRB1200	Sham	NaCshell	Rep5	nac
218	RRB1201	Sham	NaCcore	Rep5	nac
219	RRB1202	Sham	LS	Rep5	ssthal
220	RRB1203	Sham	MS	Rep5	ssthal
221	RRB1204	Sham	BNST	Rep5	ssthal
222	RRB1205	Sham	MPOA	Rep5	ven
223	RRB1206	Sham	PVN	Rep5	pvnhb
224	RRB1207	Sham	MDT	Rep5	ssthal
225	RRB1208	Sham	LH	Rep5	ssthal
226	RRB1209	Sham	VMH	Rep5	ven
227	RRB1210	Sham	BLA	Rep5	amyg
228	RRB1211	Sham	CMA	Rep5	amyg
229	RRB1212	Sham	dorDG	Rep5	hippocamp
230	RRB1213	Sham	dorCA1	Rep5	hippocamp
231	RRB1214	Sham	HB	Rep5	pvnhb
232	RRB1215	Sham	venDG	Rep5	hippocamp
233	RRB1216	Sham	venCA1	Rep5	hippocamp
234	RRB1217	Sham	Arc	Rep5	ven
235	RRB1218	Sham	VTA	Rep5	ven
236	RRB1219	Sham	PAG	Rep5	caudal
237	RRB1250	Sham	Raphe	Rep5	caudal
238	RRB1251	Sham	LC	Rep5	caudal
239	RRB1252	Sham	SNT	Rep5	caudal
240	RRB1220	Fluoxetine	PLC	Rep5	cortex
241	RRB1221	Fluoxetine	ILC	Rep5	cortex
242	RRB1222	Fluoxetine	CGC	Rep5	cortex
243	RRB1223	Fluoxetine	InsularCortex	Rep5	cortex
244	RRB1224	Fluoxetine	NaCshell	Rep5	nac
245	RRB1225	Fluoxetine	NaCcore	Rep5	nac
246	RRB1226	Fluoxetine	LS	Rep5	ssthal
247	RRB1227	Fluoxetine	MS	Rep5	ssthal
248	RRB1228	Fluoxetine	BNST	Rep5	ssthal
249	RRB1229	Fluoxetine	MPOA	Rep5	ven
250	RRB1230	Fluoxetine	PVN	Rep5	pvnhb
251	RRB1231	Fluoxetine	MDT	Rep5	ssthal
252	RRB1232	Fluoxetine	LH	Rep5	ssthal
253	RRB1233	Fluoxetine	VMH	Rep5	ven
254	RRB1234	Fluoxetine	BLA	Rep5	amyg
255	RRB1235	Fluoxetine	CMA	Rep5	amyg
256	RRB1236	Fluoxetine	dorDG	Rep5	hippocamp
257	RRB1237	Fluoxetine	dorCA1	Rep5	hippocamp
258	RRB1238	Fluoxetine	HB	Rep5	pvnhb
259	RRB1239	Fluoxetine	venDG	Rep5	hippocamp
260	RRB1240	Fluoxetine	venCA1	Rep5	hippocamp
261	RRB1241	Fluoxetine	Arc	Rep5	ven
262	RRB1242	Fluoxetine	VTA	Rep5	ven
263	RRB1243	Fluoxetine	PAG	Rep5	caudal
264	RRB1253	Fluoxetine	Raphe	Rep5	caudal
265	RRB1254	Fluoxetine	LC	Rep5	caudal
266	RRB1255	Fluoxetine	SNT	Rep5	caudal
